u_star,x2
2.000000000000000111e-01,0.000000000000000000e+00
2.001221362018582584e-01,1.000000000000000000e+00
2.004151692839016841e-01,2.000000000000000000e+00
2.007088466260663617e-01,3.000000000000000000e+00
2.010031701190592157e-01,4.000000000000000000e+00
2.012981416605308382e-01,5.000000000000000000e+00
2.015937631551054654e-01,6.000000000000000000e+00
2.018900365144130626e-01,7.000000000000000000e+00
2.021869636571217432e-01,8.000000000000000000e+00
2.024845465089648577e-01,9.000000000000000000e+00
2.027827870027757440e-01,1.000000000000000000e+01
2.030816870785185912e-01,1.100000000000000000e+01
2.033812486833200817e-01,1.200000000000000000e+01
2.036814737714993662e-01,1.300000000000000000e+01
2.039823643046003721e-01,1.400000000000000000e+01
2.042839222514274411e-01,1.500000000000000000e+01
2.045861495880710867e-01,1.600000000000000000e+01
2.048890482979487393e-01,1.700000000000000000e+01
2.051926203718308361e-01,1.800000000000000000e+01
2.054968678078746835e-01,1.900000000000000000e+01
2.058017926116595397e-01,2.000000000000000000e+01
2.061073967962203657e-01,2.100000000000000000e+01
2.064136823820721389e-01,2.200000000000000000e+01
2.067206513972597026e-01,2.300000000000000000e+01
2.070283058773770835e-01,2.400000000000000000e+01
2.073366478656064604e-01,2.500000000000000000e+01
2.076456794127545802e-01,2.600000000000000000e+01
2.079554025772811787e-01,2.700000000000000000e+01
2.082658194253377282e-01,2.800000000000000000e+01
2.085769320308035191e-01,2.900000000000000000e+01
2.088887424753110844e-01,3.000000000000000000e+01
2.092012528482970479e-01,3.100000000000000000e+01
2.095144652470206648e-01,3.200000000000000000e+01
2.098283817766067871e-01,3.300000000000000000e+01
2.101430045500825017e-01,3.400000000000000000e+01
2.104583356884116574e-01,3.500000000000000000e+01
2.107743773205271731e-01,3.600000000000000000e+01
2.110911315833734481e-01,3.700000000000000000e+01
2.114086006219348945e-01,3.800000000000000000e+01
2.117267865892811241e-01,3.900000000000000000e+01
2.120456916465944808e-01,4.000000000000000000e+01
2.123653179632134513e-01,4.100000000000000000e+01
2.126856677166665266e-01,4.200000000000000000e+01
2.130067430927111705e-01,4.300000000000000000e+01
2.133285462853679038e-01,4.400000000000000000e+01
2.136510794969607163e-01,4.500000000000000000e+01
2.139743449381578122e-01,4.600000000000000000e+01
2.142983448280023628e-01,4.700000000000000000e+01
2.146230813939541404e-01,4.800000000000000000e+01
2.149485568719295969e-01,4.900000000000000000e+01
2.152747735063372803e-01,5.000000000000000000e+01
2.156017335501200227e-01,5.100000000000000000e+01
2.159294392647901351e-01,5.200000000000000000e+01
2.162578929204721501e-01,5.300000000000000000e+01
2.165870967959404036e-01,5.400000000000000000e+01
2.169170531786556722e-01,5.500000000000000000e+01
2.172477643648127454e-01,5.600000000000000000e+01
2.175792326593737336e-01,5.700000000000000000e+01
2.179114603761093671e-01,5.800000000000000000e+01
2.182444498376422959e-01,5.900000000000000000e+01
2.185782033754848364e-01,6.000000000000000000e+01
2.189127233300809938e-01,6.100000000000000000e+01
2.192480120508491503e-01,6.200000000000000000e+01
2.195840718962202009e-01,6.300000000000000000e+01
2.199209052336821846e-01,6.400000000000000000e+01
2.202585144398171435e-01,6.500000000000000000e+01
2.205969019003509723e-01,6.600000000000000000e+01
2.209360700101887232e-01,6.700000000000000000e+01
2.212760211734593474e-01,6.800000000000000000e+01
2.216167578035613817e-01,6.900000000000000000e+01
2.219582823231995294e-01,7.000000000000000000e+01
2.223005971644342882e-01,7.100000000000000000e+01
2.226437047687235826e-01,7.200000000000000000e+01
2.229876075869601793e-01,7.300000000000000000e+01
2.233323080795244220e-01,7.400000000000000000e+01
2.236778087163248108e-01,7.500000000000000000e+01
2.240241119768400790e-01,7.600000000000000000e+01
2.243712203501669888e-01,7.700000000000000000e+01
2.247191363350659055e-01,7.800000000000000000e+01
2.250678624399991556e-01,7.900000000000000000e+01
2.254174011831844848e-01,8.000000000000000000e+01
2.257677550926371346e-01,8.100000000000000000e+01
2.261189267062160835e-01,8.200000000000000000e+01
2.264709185716666240e-01,8.300000000000000000e+01
2.268237332466728762e-01,8.400000000000000000e+01
2.271773732989013084e-01,8.500000000000000000e+01
2.275318413060457012e-01,8.600000000000000000e+01
2.278871398558772188e-01,8.700000000000000000e+01
2.282432715462904271e-01,8.800000000000000000e+01
2.286002389853523664e-01,8.900000000000000000e+01
2.289580447913455719e-01,9.000000000000000000e+01
2.293166915928225302e-01,9.100000000000000000e+01
2.296761820286498668e-01,9.200000000000000000e+01
2.300365187480597484e-01,9.300000000000000000e+01
2.303977044106960137e-01,9.400000000000000000e+01
2.307597416866647988e-01,9.500000000000000000e+01
2.311226332565849972e-01,9.600000000000000000e+01
2.314863818116374983e-01,9.700000000000000000e+01
2.318509900536112056e-01,9.800000000000000000e+01
2.322164606949598253e-01,9.900000000000000000e+01
2.325827964588492724e-01,1.000000000000000000e+02
2.329500000792067982e-01,1.010000000000000000e+02
2.333180743007750024e-01,1.020000000000000000e+02
2.336870218791615161e-01,1.030000000000000000e+02
2.340568455808916259e-01,1.040000000000000000e+02
2.344275481834597330e-01,1.050000000000000000e+02
2.347991324753831432e-01,1.060000000000000000e+02
2.351716012562511393e-01,1.070000000000000000e+02
2.355449573367806027e-01,1.080000000000000000e+02
2.359192035388699704e-01,1.090000000000000000e+02
2.362943426956485293e-01,1.100000000000000000e+02
2.366703776515357016e-01,1.110000000000000000e+02
2.370473112622902279e-01,1.120000000000000000e+02
2.374251463950679542e-01,1.130000000000000000e+02
2.378018762935991681e-01,1.140000000000000000e+02
2.382046007959173761e-01,1.150000000000000000e+02
2.387254314570886882e-01,1.160000000000000000e+02
2.393758786586102083e-01,1.170000000000000000e+02
2.401571520997780596e-01,1.180000000000000000e+02
2.410702822541517798e-01,1.190000000000000000e+02
2.421164424220962896e-01,1.200000000000000000e+02
2.432969489464966162e-01,1.210000000000000000e+02
2.446132611967418158e-01,1.220000000000000000e+02
2.460669812963962033e-01,1.230000000000000000e+02
2.476598535650576527e-01,1.240000000000000000e+02
2.493937636398121382e-01,1.250000000000000000e+02
2.512707372363550684e-01,1.260000000000000000e+02
2.532929385042591575e-01,1.270000000000000000e+02
2.554626679251020827e-01,1.280000000000000000e+02
2.577823596960127639e-01,1.290000000000000000e+02
2.602545785348788221e-01,1.300000000000000000e+02
2.628820158368400661e-01,1.310000000000000000e+02
2.656674851047440278e-01,1.320000000000000000e+02
2.686139165691817099e-01,1.330000000000000000e+02
2.717243509062842732e-01,1.340000000000000000e+02
2.750019319539758755e-01,1.350000000000000000e+02
2.784498983196750932e-01,1.360000000000000000e+02
2.820715737647028765e-01,1.370000000000000000e+02
2.858703562429636968e-01,1.380000000000000000e+02
2.898497054638461967e-01,1.390000000000000000e+02
2.940131288420194666e-01,1.400000000000000000e+02
2.983641656898682326e-01,1.410000000000000000e+02
3.029063695020595137e-01,1.420000000000000000e+02
3.076432881762484195e-01,1.430000000000000000e+02
3.125784420096218152e-01,1.440000000000000000e+02
3.177152993079578325e-01,1.450000000000000000e+02
3.230572494426910968e-01,1.460000000000000000e+02
3.286075731922941667e-01,1.470000000000000000e+02
3.343694102077425789e-01,1.480000000000000000e+02
3.403457234481956917e-01,1.490000000000000000e+02
3.465392604430674872e-01,1.500000000000000000e+02
3.529525112505953466e-01,1.510000000000000000e+02
3.595876630018698394e-01,1.520000000000000000e+02
3.664465509432911494e-01,1.530000000000000000e+02
3.735306059205201201e-01,1.540000000000000000e+02
3.808407982836861105e-01,1.550000000000000000e+02
3.883775782376640562e-01,1.560000000000000000e+02
3.961408127131957890e-01,1.570000000000000000e+02
4.041297188951401553e-01,1.580000000000000000e+02
4.123427946136559719e-01,1.590000000000000000e+02
4.207777458830316286e-01,1.600000000000000000e+02
4.294314119613613645e-01,1.610000000000000000e+02
4.382996884023543371e-01,1.620000000000000000e+02
4.473774486779810156e-01,1.630000000000000000e+02
4.566584650666870582e-01,1.640000000000000000e+02
4.661353296257879641e-01,1.650000000000000000e+02
4.757993761966907709e-01,1.660000000000000000e+02
4.856406045260752702e-01,1.670000000000000000e+02
4.956476077223782584e-01,1.680000000000000000e+02
5.058075044019932909e-01,1.690000000000000000e+02
5.161058770095445780e-01,1.700000000000000000e+02
5.265267179172321566e-01,1.710000000000000000e+02
5.370523850144094391e-01,1.720000000000000000e+02
5.476635685848054713e-01,1.730000000000000000e+02
5.583392713289139220e-01,1.740000000000000000e+02
5.690568034168052014e-01,1.750000000000000000e+02
5.797917944452203320e-01,1.760000000000000000e+02
5.905182241159719903e-01,1.770000000000000000e+02
6.012084733441469542e-01,1.780000000000000000e+02
6.118333973391306690e-01,1.790000000000000000e+02
6.223624219745571562e-01,1.800000000000000000e+02
6.327636644724741188e-01,1.810000000000000000e+02
6.430040790710864762e-01,1.820000000000000000e+02
6.530496279260965542e-01,1.830000000000000000e+02
6.628654770170228083e-01,1.840000000000000000e+02
6.724162162988588376e-01,1.850000000000000000e+02
6.816661027663920569e-01,1.860000000000000000e+02
6.905793244966413891e-01,1.870000000000000000e+02
6.991202831204023083e-01,1.880000000000000000e+02
7.072538915657189396e-01,1.890000000000000000e+02
7.149458833350336162e-01,1.900000000000000000e+02
7.221631290460550634e-01,1.910000000000000000e+02
7.288739555065124609e-01,1.920000000000000000e+02
7.350484622267047241e-01,1.930000000000000000e+02
7.406588300213166054e-01,1.940000000000000000e+02
7.456796162300615149e-01,1.950000000000000000e+02
7.500880311083699681e-01,1.960000000000000000e+02
7.538641901124331079e-01,1.970000000000000000e+02
7.569913371293608417e-01,1.980000000000000000e+02
7.594560341788382241e-01,1.990000000000000000e+02
7.612483137270196210e-01,2.000000000000000000e+02
7.623617904897193043e-01,2.010000000000000000e+02
7.627937304381611217e-01,2.020000000000000000e+02
7.625450756299578803e-01,2.030000000000000000e+02
7.616204244405427870e-01,2.040000000000000000e+02
7.600279677341142959e-01,2.050000000000000000e+02
7.577793824558447522e-01,2.060000000000000000e+02
7.548896850177553297e-01,2.070000000000000000e+02
7.513770476603784942e-01,2.080000000000000000e+02
7.472625816768806439e-01,2.090000000000000000e+02
7.425700919657777233e-01,2.100000000000000000e+02
7.373258078186845088e-01,2.110000000000000000e+02
7.315580951427733680e-01,2.120000000000000000e+02
7.252971554617450023e-01,2.130000000000000000e+02
7.185747170379185311e-01,2.140000000000000000e+02
7.114237233207061362e-01,2.150000000000000000e+02
7.038780236665058698e-01,2.160000000000000000e+02
6.959720709093124569e-01,2.170000000000000000e+02
6.877406299090729203e-01,2.180000000000000000e+02
6.792185006873483477e-01,2.190000000000000000e+02
6.704402591980660464e-01,2.200000000000000000e+02
6.614400181959703140e-01,2.210000000000000000e+02
6.522512100760639031e-01,2.220000000000000000e+02
6.429063929813558786e-01,2.230000000000000000e+02
6.334370809283897952e-01,2.240000000000000000e+02
6.238735981926785135e-01,2.250000000000000000e+02
6.142449577385777904e-01,2.260000000000000000e+02
6.045787630768373333e-01,2.270000000000000000e+02
5.949011325918962534e-01,2.280000000000000000e+02
5.852366451012995796e-01,2.290000000000000000e+02
5.756083051906654147e-01,2.300000000000000000e+02
5.660375267068815663e-01,2.310000000000000000e+02
5.565441326856582771e-01,2.320000000000000000e+02
5.471463699322909324e-01,2.330000000000000000e+02
5.378609364606693477e-01,2.340000000000000000e+02
5.287030200192806006e-01,2.350000000000000000e+02
5.196863459878513503e-01,2.360000000000000000e+02
5.108232330084203632e-01,2.370000000000000000e+02
5.021246548141654609e-01,2.380000000000000000e+02
4.936003068329278820e-01,2.390000000000000000e+02
4.852586762653239849e-01,2.400000000000000000e+02
4.771071144653105667e-01,2.410000000000000000e+02
4.691519105804920486e-01,2.420000000000000000e+02
4.613983655373924964e-01,2.430000000000000000e+02
4.538508655807602099e-01,2.440000000000000000e+02
4.465129546940359573e-01,2.450000000000000000e+02
4.393874053388351353e-01,2.460000000000000000e+02
4.324762870537794957e-01,2.470000000000000000e+02
4.257810325466495072e-01,2.480000000000000000e+02
4.193025009983595286e-01,2.490000000000000000e+02
4.130410383726254575e-01,2.500000000000000000e+02
4.069965345916096711e-01,2.510000000000000000e+02
4.011684774956918997e-01,2.520000000000000000e+02
3.955560035551852205e-01,2.530000000000000000e+02
3.901579453440181533e-01,2.540000000000000000e+02
3.849728758205313017e-01,2.550000000000000000e+02
3.799991494894421895e-01,2.560000000000000000e+02
3.752349405422035211e-01,2.570000000000000000e+02
3.706782780910791719e-01,2.580000000000000000e+02
3.663270786259673617e-01,2.590000000000000000e+02
3.621791758327561062e-01,2.600000000000000000e+02
3.582323479184806314e-01,2.610000000000000000e+02
3.544843425921211932e-01,2.620000000000000000e+02
3.509328998510983788e-01,2.630000000000000000e+02
3.475757727226947424e-01,2.640000000000000000e+02
3.444107461072171139e-01,2.650000000000000000e+02
3.414356538659094609e-01,2.660000000000000000e+02
3.386483942918482315e-01,2.670000000000000000e+02
3.360469440963994581e-01,2.680000000000000000e+02
3.336293710376071475e-01,2.690000000000000000e+02
3.313938453102347470e-01,2.700000000000000000e+02
3.293386498102191529e-01,2.710000000000000000e+02
3.274621893792249994e-01,2.720000000000000000e+02
3.257629991277886106e-01,2.730000000000000000e+02
3.242397519283936047e-01,2.740000000000000000e+02
3.228912651627231511e-01,2.750000000000000000e+02
3.217165068003369766e-01,2.760000000000000000e+02
3.207146008791923464e-01,2.770000000000000000e+02
3.198848324517360453e-01,2.780000000000000000e+02
3.192266520537788144e-01,2.790000000000000000e+02
3.187396797470216092e-01,2.800000000000000000e+02
3.184237087799224875e-01,2.810000000000000000e+02
3.182787089055552077e-01,2.820000000000000000e+02
3.183048293892191682e-01,2.830000000000000000e+02
3.185024017327687251e-01,2.840000000000000000e+02
3.188721597291996890e-01,2.850000000000000000e+02
3.194115332913139982e-01,2.860000000000000000e+02
3.200013953884122131e-01,2.870000000000000000e+02
3.205942616300723191e-01,2.880000000000000000e+02
3.211887779769387885e-01,2.890000000000000000e+02
3.217849505628698759e-01,2.900000000000000000e+02
3.223827855502788831e-01,2.910000000000000000e+02
3.229822891302888688e-01,2.920000000000000000e+02
3.235834675228960178e-01,2.930000000000000000e+02
3.241863269771296796e-01,2.940000000000000000e+02
3.247908737712174032e-01,2.950000000000000000e+02
3.253971142127469185e-01,2.960000000000000000e+02
3.260050546388325587e-01,2.970000000000000000e+02
3.266147014162803508e-01,2.980000000000000000e+02
3.272260609417577681e-01,2.990000000000000000e+02
3.278391396419574333e-01,3.000000000000000000e+02
3.284539439737715338e-01,3.010000000000000000e+02
3.290704804244593551e-01,3.020000000000000000e+02
3.296887555118194202e-01,3.030000000000000000e+02
3.303087757843627958e-01,3.040000000000000000e+02
3.309305478214876750e-01,3.050000000000000000e+02
3.315540782336529047e-01,3.060000000000000000e+02
3.321793736625558990e-01,3.070000000000000000e+02
3.328064407813088876e-01,3.080000000000000000e+02
3.334352862946180496e-01,3.090000000000000000e+02
3.340659169389628147e-01,3.100000000000000000e+02
3.346983394827791058e-01,3.110000000000000000e+02
3.353325607266381958e-01,3.120000000000000000e+02
3.359685875034312819e-01,3.130000000000000000e+02
3.366064266785567805e-01,3.140000000000000000e+02
3.372460851501023482e-01,3.150000000000000000e+02
3.378875698490331203e-01,3.160000000000000000e+02
3.385308877393833349e-01,3.170000000000000000e+02
3.391760458184408522e-01,3.180000000000000000e+02
3.398230511169418877e-01,3.190000000000000000e+02
3.404719106992614153e-01,3.200000000000000000e+02
3.411226316636069011e-01,3.210000000000000000e+02
3.417752211422143693e-01,3.220000000000000000e+02
3.424296863015418024e-01,3.230000000000000000e+02
3.430860343424698700e-01,3.240000000000000000e+02
3.437442725004976607e-01,3.250000000000000000e+02
3.444044080459456314e-01,3.260000000000000000e+02
3.450664482841544478e-01,3.270000000000000000e+02
3.457304005556887105e-01,3.280000000000000000e+02
3.463962722365423463e-01,3.290000000000000000e+02
3.470640707383423895e-01,3.300000000000000000e+02
3.477338035085569268e-01,3.310000000000000000e+02
3.484054780307037635e-01,3.320000000000000000e+02
3.490791018245580912e-01,3.330000000000000000e+02
3.497546824463677595e-01,3.340000000000000000e+02
3.504322274890613320e-01,3.350000000000000000e+02
3.511117445824648020e-01,3.360000000000000000e+02
3.517932413935173086e-01,3.370000000000000000e+02
3.524767256264871307e-01,3.380000000000000000e+02
3.531622050231895127e-01,3.390000000000000000e+02
3.538496873632095974e-01,3.400000000000000000e+02
3.545391804641203071e-01,3.410000000000000000e+02
3.552306921817076080e-01,3.420000000000000000e+02
3.559242304101953858e-01,3.430000000000000000e+02
3.566198030824695442e-01,3.440000000000000000e+02
3.573174181703065999e-01,3.450000000000000000e+02
3.580170836846049420e-01,3.460000000000000000e+02
3.587188076756115396e-01,3.470000000000000000e+02
3.594225982331581415e-01,3.480000000000000000e+02
3.601284634868927581e-01,3.490000000000000000e+02
3.608364116065170824e-01,3.500000000000000000e+02
3.615464508020216350e-01,3.510000000000000000e+02
3.622585893239271826e-01,3.520000000000000000e+02
3.629728354635232690e-01,3.530000000000000000e+02
3.636891975531106325e-01,3.540000000000000000e+02
3.644076839662464540e-01,3.550000000000000000e+02
3.651283031179891059e-01,3.560000000000000000e+02
3.658510634651441773e-01,3.570000000000000000e+02
3.665759735065153846e-01,3.580000000000000000e+02
3.673030417831550376e-01,3.590000000000000000e+02
3.680322768786152277e-01,3.600000000000000000e+02
3.687636874192035119e-01,3.610000000000000000e+02
3.694972820742380981e-01,3.620000000000000000e+02
3.702330695563060825e-01,3.630000000000000000e+02
3.709710586215231309e-01,3.640000000000000000e+02
3.717112580697944924e-01,3.650000000000000000e+02
3.724536767450781216e-01,3.660000000000000000e+02
3.731983235356512996e-01,3.670000000000000000e+02
3.739452073743754767e-01,3.680000000000000000e+02
3.746943372389670568e-01,3.690000000000000000e+02
3.754457221522668475e-01,3.700000000000000000e+02
3.761993711825135644e-01,3.710000000000000000e+02
3.769552934436179448e-01,3.720000000000000000e+02
3.777134980954399701e-01,3.730000000000000000e+02
3.784739943440658116e-01,3.740000000000000000e+02
3.792367914420908259e-01,3.750000000000000000e+02
3.800018986888993311e-01,3.760000000000000000e+02
3.807693254309514885e-01,3.770000000000000000e+02
3.815390810620675199e-01,3.780000000000000000e+02
3.823111750237186968e-01,3.790000000000000000e+02
3.830856168053152766e-01,3.800000000000000000e+02
3.838624159445016004e-01,3.810000000000000000e+02
3.846415820274487474e-01,3.820000000000000000e+02
3.854231246891539064e-01,3.830000000000000000e+02
3.862070536137359178e-01,3.840000000000000000e+02
3.869933785347400290e-01,3.850000000000000000e+02
3.877821092354382104e-01,3.860000000000000000e+02
3.885732555491366313e-01,3.870000000000000000e+02
3.893668273594819706e-01,3.880000000000000000e+02
3.901628346007721682e-01,3.890000000000000000e+02
3.909612872582679532e-01,3.900000000000000000e+02
3.917621953685076486e-01,3.910000000000000000e+02
3.925655690196230285e-01,3.920000000000000000e+02
3.933714183516586749e-01,3.930000000000000000e+02
3.941797535568935529e-01,3.940000000000000000e+02
3.949905848801635311e-01,3.950000000000000000e+02
3.958039226191880644e-01,3.960000000000000000e+02
3.966197771248978210e-01,3.970000000000000000e+02
3.974381588017659173e-01,3.980000000000000000e+02
3.982590781081403186e-01,3.990000000000000000e+02
3.967738412310277130e-01,4.000000000000000000e+02
